Model,Training Step,Seed,ICL
EleutherAI/pythia-14m,step1,7,0.3465604782104492
EleutherAI/pythia-14m,step1,7,1.1650638580322266
EleutherAI/pythia-14m,step1,7,-0.2306194305419922
EleutherAI/pythia-14m,step1,7,0.6517839431762695
EleutherAI/pythia-14m,step1,7,-0.26926231384277344
EleutherAI/pythia-14m,step1,7,0.6656780242919922
EleutherAI/pythia-14m,step1,7,-0.4771556854248047
EleutherAI/pythia-14m,step1,7,-0.7994270324707031
EleutherAI/pythia-14m,step1,7,0.7192096710205078
EleutherAI/pythia-14m,step1,7,-0.053836822509765625
EleutherAI/pythia-14m,step1,7,-0.5710248947143555
EleutherAI/pythia-14m,step1,7,0.9599800109863281
EleutherAI/pythia-14m,step1,7,1.154306411743164
EleutherAI/pythia-14m,step1,7,-0.6886634826660156
EleutherAI/pythia-14m,step1,7,-0.5274477005004883
EleutherAI/pythia-14m,step1,7,-1.6002616882324219
EleutherAI/pythia-14m,step1,7,0.0199127197265625
EleutherAI/pythia-14m,step1,7,-0.1916675567626953
EleutherAI/pythia-14m,step1,7,-1.0590248107910156
EleutherAI/pythia-14m,step1,7,1.9996881484985352
EleutherAI/pythia-14m,step1,7,0.14386940002441406
EleutherAI/pythia-14m,step1,7,-0.5377912521362305
EleutherAI/pythia-14m,step1,7,-0.7849674224853516
EleutherAI/pythia-14m,step1,7,-0.181427001953125
EleutherAI/pythia-14m,step1,7,-0.5817289352416992
EleutherAI/pythia-14m,step1,7,-0.22626876831054688
EleutherAI/pythia-14m,step1,9,1.6161489486694336
EleutherAI/pythia-14m,step1,9,2.0491981506347656
EleutherAI/pythia-14m,step1,9,-0.01886463165283203
EleutherAI/pythia-14m,step1,9,-0.1591806411743164
EleutherAI/pythia-14m,step1,9,-0.13694381713867188
EleutherAI/pythia-14m,step1,9,0.01832294464111328
EleutherAI/pythia-14m,step1,9,0.7694368362426758
EleutherAI/pythia-14m,step1,9,1.6649847030639648
EleutherAI/pythia-14m,step1,9,-0.6271514892578125
EleutherAI/pythia-14m,step1,9,-0.34459877014160156
EleutherAI/pythia-14m,step1,9,-1.5087556838989258
EleutherAI/pythia-14m,step1,9,0.9272794723510742
EleutherAI/pythia-14m,step1,9,0.26070594787597656
EleutherAI/pythia-14m,step1,9,-0.3496274948120117
EleutherAI/pythia-14m,step1,9,0.269775390625
EleutherAI/pythia-14m,step1,9,-1.1076040267944336
EleutherAI/pythia-14m,step1,9,-0.17826080322265625
EleutherAI/pythia-14m,step1,9,2.883212089538574
EleutherAI/pythia-14m,step1,9,0.2526664733886719
EleutherAI/pythia-14m,step1,9,0.15536975860595703
EleutherAI/pythia-14m,step1,9,-0.8455801010131836
EleutherAI/pythia-14m,step1,9,0.503509521484375
EleutherAI/pythia-14m,step1,9,0.21036243438720703
EleutherAI/pythia-14m,step1,9,0.2290191650390625
EleutherAI/pythia-14m,step1,9,1.3489007949829102
EleutherAI/pythia-14m,step1,9,0.4548168182373047
EleutherAI/pythia-14m,step1,9,-0.7939291000366211
EleutherAI/pythia-14m,step1,9,-0.39923763275146484
EleutherAI/pythia-14m,step1,9,0.06592273712158203
EleutherAI/pythia-14m,step1,9,2.817816734313965
EleutherAI/pythia-14m,step1,9,-1.058669090270996
EleutherAI/pythia-14m,step1,9,-0.9301481246948242
EleutherAI/pythia-14m,step1,9,0.8501510620117188
EleutherAI/pythia-14m,step1,9,0.4686260223388672
EleutherAI/pythia-14m,step1,9,-0.3041248321533203
EleutherAI/pythia-14m,step1,9,0.6639900207519531
EleutherAI/pythia-14m,step1,9,-1.4370136260986328
EleutherAI/pythia-14m,step1,9,-0.5040903091430664
EleutherAI/pythia-14m,step1,9,-1.6688957214355469
EleutherAI/pythia-14m,step1,9,1.1627082824707031
EleutherAI/pythia-14m,step2,1,1.7922563552856445
EleutherAI/pythia-14m,step2,1,-0.9895830154418945
EleutherAI/pythia-14m,step2,1,0.964238166809082
EleutherAI/pythia-14m,step2,1,0.5521678924560547
EleutherAI/pythia-14m,step2,1,0.7397098541259766
EleutherAI/pythia-14m,step2,1,0.8997583389282227
EleutherAI/pythia-14m,step2,1,-0.4244117736816406
EleutherAI/pythia-14m,step2,1,-0.6156415939331055
EleutherAI/pythia-14m,step2,1,0.7499065399169922
EleutherAI/pythia-14m,step2,1,-1.1838178634643555
EleutherAI/pythia-14m,step2,1,-0.41410160064697266
EleutherAI/pythia-14m,step2,1,1.2754144668579102
EleutherAI/pythia-14m,step2,1,-0.31110572814941406
EleutherAI/pythia-14m,step2,1,0.16676998138427734
EleutherAI/pythia-14m,step2,1,1.2914924621582031
EleutherAI/pythia-14m,step2,1,0.7552175521850586
EleutherAI/pythia-14m,step2,1,-2.0017709732055664
EleutherAI/pythia-14m,step2,1,0.04447746276855469
EleutherAI/pythia-14m,step2,1,-2.1164474487304688
EleutherAI/pythia-14m,step2,1,0.06021690368652344
EleutherAI/pythia-14m,step2,1,-0.3996858596801758
EleutherAI/pythia-14m,step2,1,0.07241344451904297
EleutherAI/pythia-14m,step2,1,1.4903392791748047
EleutherAI/pythia-14m,step2,1,-0.060523033142089844
EleutherAI/pythia-14m,step2,1,-0.12581348419189453
EleutherAI/pythia-14m,step2,1,-0.2852792739868164
EleutherAI/pythia-14m,step2,1,1.3980159759521484
EleutherAI/pythia-14m,step2,1,-1.1842594146728516
EleutherAI/pythia-14m,step2,1,0.1860513687133789
EleutherAI/pythia-14m,step2,1,0.3885364532470703
EleutherAI/pythia-14m,step2,1,1.1333198547363281
EleutherAI/pythia-14m,step2,1,-0.046942710876464844
EleutherAI/pythia-14m,step2,1,-0.4796285629272461
EleutherAI/pythia-14m,step2,1,0.6506595611572266
EleutherAI/pythia-14m,step2,1,-0.08502006530761719
EleutherAI/pythia-14m,step2,1,-0.6634702682495117
EleutherAI/pythia-14m,step2,1,-1.7253046035766602
EleutherAI/pythia-14m,step2,1,0.025617599487304688
EleutherAI/pythia-14m,step2,1,-0.16385364532470703
EleutherAI/pythia-14m,step2,1,-0.21953678131103516
EleutherAI/pythia-14m,step2,3,0.9735288619995117
EleutherAI/pythia-14m,step2,3,-0.6449069976806641
EleutherAI/pythia-14m,step2,3,0.9856624603271484
EleutherAI/pythia-14m,step2,3,0.3088817596435547
EleutherAI/pythia-14m,step2,3,0.7788820266723633
EleutherAI/pythia-14m,step2,3,0.04977703094482422
EleutherAI/pythia-14m,step2,3,0.3406028747558594
EleutherAI/pythia-14m,step2,3,1.6168413162231445
EleutherAI/pythia-14m,step2,3,-1.6473712921142578
EleutherAI/pythia-14m,step2,3,-0.7128152847290039
EleutherAI/pythia-14m,step2,3,-0.3951387405395508
EleutherAI/pythia-14m,step2,3,-0.31430816650390625
EleutherAI/pythia-14m,step2,3,0.46673583984375
EleutherAI/pythia-14m,step2,3,1.173360824584961
EleutherAI/pythia-14m,step2,3,1.3765869140625
EleutherAI/pythia-14m,step2,3,-1.0467042922973633
EleutherAI/pythia-14m,step2,3,1.618631362915039
EleutherAI/pythia-14m,step2,3,1.708165168762207
EleutherAI/pythia-14m,step2,3,1.019500732421875
EleutherAI/pythia-14m,step2,3,0.14172649383544922
EleutherAI/pythia-14m,step2,3,-0.07154178619384766
EleutherAI/pythia-14m,step2,3,0.14392852783203125
EleutherAI/pythia-14m,step2,3,1.3761920928955078
EleutherAI/pythia-14m,step2,3,0.05986213684082031
EleutherAI/pythia-14m,step2,3,1.6262807846069336
EleutherAI/pythia-14m,step2,3,-0.30762577056884766
EleutherAI/pythia-14m,step2,3,0.5888118743896484
EleutherAI/pythia-14m,step2,3,0.08033370971679688
EleutherAI/pythia-14m,step2,3,-0.7108430862426758
EleutherAI/pythia-14m,step2,3,-0.12227249145507812
EleutherAI/pythia-14m,step2,3,1.13092041015625
EleutherAI/pythia-14m,step2,3,0.5282049179077148
